Latitude,Longitude,Live_Coral_Cover(%)
10.0,140.0,40
10.1,140.5,41
10.2,141.0,42
10.3,141.5,43
10.4,142.0,44
10.5,142.5,45
10.6,143.0,46
10.7,143.5,47
10.8,144.0,48
10.9,144.5,49
11.0,140.0,50
11.1,140.5,51
11.2,141.0,52
11.3,141.5,53
11.4,142.0,54
11.5,142.5,55
11.6,143.0,56
11.7,143.5,57
11.8,144.0,58
11.9,144.5,59
12.0,140.0,60
12.1,140.5,61
12.2,141.0,62
12.3,141.5,63
12.4,142.0,64
12.5,142.5,65
12.6,143.0,66
12.7,143.5,67
12.8,144.0,68
12.9,144.5,69
13.0,140.0,40
13.1,140.5,41
13.2,141.0,42
13.3,141.5,43
13.4,142.0,44
13.5,142.5,45
13.6,143.0,46
13.7,143.5,47
13.8,144.0,48
13.9,144.5,49
14.0,140.0,50
14.100000000000001,140.5,51
14.2,141.0,52
14.3,141.5,53
14.4,142.0,54
14.5,142.5,55
14.600000000000001,143.0,56
14.7,143.5,57
14.8,144.0,58
14.9,144.5,59
15.0,140.0,60
15.100000000000001,140.5,61
15.2,141.0,62
15.3,141.5,63
15.4,142.0,64
15.5,142.5,65
15.600000000000001,143.0,66
15.7,143.5,67
15.8,144.0,68
15.9,144.5,69
16.0,140.0,40
16.1,140.5,41
16.2,141.0,42
16.3,141.5,43
16.4,142.0,44
16.5,142.5,45
16.6,143.0,46
16.7,143.5,47
16.8,144.0,48
16.9,144.5,49
17.0,140.0,50
17.1,140.5,51
17.2,141.0,52
17.3,141.5,53
17.4,142.0,54
17.5,142.5,55
17.6,143.0,56
17.7,143.5,57
17.8,144.0,58
17.9,144.5,59
18.0,140.0,60
18.1,140.5,61
18.200000000000003,141.0,62
18.3,141.5,63
18.4,142.0,64
18.5,142.5,65
18.6,143.0,66
18.700000000000003,143.5,67
18.8,144.0,68
18.9,144.5,69
19.0,140.0,40
19.1,140.5,41
19.200000000000003,141.0,42
19.3,141.5,43
19.4,142.0,44
19.5,142.5,45
19.6,143.0,46
19.700000000000003,143.5,47
19.8,144.0,48
19.9,144.5,49
