Region,Species,Population_Estimate
Pacific Ocean,Tuna,50000
Pacific Ocean,Salmon,60000
Pacific Ocean,Cod,70000
Pacific Ocean,Mackerel,80000
Pacific Ocean,Tuna,50000
Pacific Ocean,Salmon,60000
Pacific Ocean,Cod,70000
Pacific Ocean,Mackerel,80000
Pacific Ocean,Tuna,50000
Pacific Ocean,Salmon,60000
Pacific Ocean,Cod,70000
Pacific Ocean,Mackerel,80000
Pacific Ocean,Tuna,50000
Pacific Ocean,Salmon,60000
Pacific Ocean,Cod,70000
Pacific Ocean,Mackerel,80000
Pacific Ocean,Tuna,50000
Pacific Ocean,Salmon,60000
Pacific Ocean,Cod,70000
Pacific Ocean,Mackerel,80000
Pacific Ocean,Tuna,50000
Pacific Ocean,Salmon,60000
Pacific Ocean,Cod,70000
Pacific Ocean,Mackerel,80000
Pacific Ocean,Tuna,50000
Atlantic Ocean,Salmon,60000
Atlantic Ocean,Cod,70000
Atlantic Ocean,Mackerel,80000
Atlantic Ocean,Tuna,50000
Atlantic Ocean,Salmon,60000
Atlantic Ocean,Cod,70000
Atlantic Ocean,Mackerel,80000
Atlantic Ocean,Tuna,50000
Atlantic Ocean,Salmon,60000
Atlantic Ocean,Cod,70000
Atlantic Ocean,Mackerel,80000
Atlantic Ocean,Tuna,50000
Atlantic Ocean,Salmon,60000
Atlantic Ocean,Cod,70000
Atlantic Ocean,Mackerel,80000
Atlantic Ocean,Tuna,50000
Atlantic Ocean,Salmon,60000
Atlantic Ocean,Cod,70000
Atlantic Ocean,Mackerel,80000
Atlantic Ocean,Tuna,50000
Atlantic Ocean,Salmon,60000
Atlantic Ocean,Cod,70000
Atlantic Ocean,Mackerel,80000
Atlantic Ocean,Tuna,50000
Atlantic Ocean,Salmon,60000
Indian Ocean,Cod,70000
Indian Ocean,Mackerel,80000
Indian Ocean,Tuna,50000
Indian Ocean,Salmon,60000
Indian Ocean,Cod,70000
Indian Ocean,Mackerel,80000
Indian Ocean,Tuna,50000
Indian Ocean,Salmon,60000
Indian Ocean,Cod,70000
Indian Ocean,Mackerel,80000
Indian Ocean,Tuna,50000
Indian Ocean,Salmon,60000
Indian Ocean,Cod,70000
Indian Ocean,Mackerel,80000
Indian Ocean,Tuna,50000
Indian Ocean,Salmon,60000
Indian Ocean,Cod,70000
Indian Ocean,Mackerel,80000
Indian Ocean,Tuna,50000
Indian Ocean,Salmon,60000
Indian Ocean,Cod,70000
Indian Ocean,Mackerel,80000
Indian Ocean,Tuna,50000
Indian Ocean,Salmon,60000
Indian Ocean,Cod,70000
Arctic Ocean,Mackerel,80000
Arctic Ocean,Tuna,50000
Arctic Ocean,Salmon,60000
Arctic Ocean,Cod,70000
Arctic Ocean,Mackerel,80000
Arctic Ocean,Tuna,50000
Arctic Ocean,Salmon,60000
Arctic Ocean,Cod,70000
Arctic Ocean,Mackerel,80000
Arctic Ocean,Tuna,50000
Arctic Ocean,Salmon,60000
Arctic Ocean,Cod,70000
Arctic Ocean,Mackerel,80000
Arctic Ocean,Tuna,50000
Arctic Ocean,Salmon,60000
Arctic Ocean,Cod,70000
Arctic Ocean,Mackerel,80000
Arctic Ocean,Tuna,50000
Arctic Ocean,Salmon,60000
Arctic Ocean,Cod,70000
Arctic Ocean,Mackerel,80000
Arctic Ocean,Tuna,50000
Arctic Ocean,Salmon,60000
Arctic Ocean,Cod,70000
Arctic Ocean,Mackerel,80000
