Year,Global_Benthic_Temp_Anomaly(°C)
1955,0.0
1956,0.01
1957,0.02
1958,0.03
1959,0.04
1960,0.05
1961,0.06
1962,0.07
1963,0.08
1964,0.09
1965,0.1
1966,0.11
1967,0.12
1968,0.13
1969,0.14
1970,0.15
1971,0.16
1972,0.17
1973,0.18
1974,0.19
1975,0.2
1976,0.21
1977,0.22
1978,0.23
1979,0.24
1980,0.25
1981,0.26
1982,0.27
1983,0.28
1984,0.29
1985,0.3
1986,0.31
1987,0.32
1988,0.33
1989,0.34
1990,0.35
1991,0.36
1992,0.37
1993,0.38
1994,0.39
1995,0.4
1996,0.41
1997,0.42
1998,0.43
1999,0.44
2000,0.45
2001,0.46
2002,0.47
2003,0.48
2004,0.49
2005,0.5
2006,0.51
2007,0.52
2008,0.53
2009,0.54
2010,0.55
2011,0.56
2012,0.57
2013,0.58
2014,0.59
2015,0.6
2016,0.61
2017,0.62
2018,0.63
2019,0.64
2020,0.65
2021,0.66
2022,0.67
2023,0.68
2024,0.69
2025,0.7
2026,0.71
2027,0.72
2028,0.73
2029,0.74
2030,0.75
2031,0.76
2032,0.77
2033,0.78
2034,0.79
2035,0.8
2036,0.81
2037,0.82
2038,0.83
2039,0.84
2040,0.85
2041,0.86
2042,0.87
2043,0.88
2044,0.89
2045,0.9
2046,0.91
2047,0.92
2048,0.93
2049,0.94
2050,0.95
2051,0.96
2052,0.97
2053,0.98
2054,0.99
