Date,Temperature(°C),Salinity(PSU),Dissolved_Oxygen(mg/L),pH
2018-01-31,16.5,35.0,7.0,8.1
2018-02-28,16.55,35.1,6.95,8.09
2018-03-31,16.6,35.2,6.9,8.08
2018-04-30,16.65,35.3,6.85,8.07
2018-05-31,16.7,35.4,6.8,8.1
2018-06-30,16.75,35.0,6.75,8.09
2018-07-31,16.8,35.1,6.7,8.08
2018-08-31,16.85,35.2,6.65,8.07
2018-09-30,16.9,35.3,6.6,8.1
2018-10-31,16.95,35.4,6.55,8.09
2018-11-30,17.0,35.0,7.0,8.08
2018-12-31,17.05,35.1,6.95,8.07
2019-01-31,17.1,35.2,6.9,8.1
2019-02-28,17.15,35.3,6.85,8.09
2019-03-31,17.2,35.4,6.8,8.08
2019-04-30,17.25,35.0,6.75,8.07
2019-05-31,17.3,35.1,6.7,8.1
2019-06-30,17.35,35.2,6.65,8.09
2019-07-31,17.4,35.3,6.6,8.08
2019-08-31,17.45,35.4,6.55,8.07
2019-09-30,17.5,35.0,7.0,8.1
2019-10-31,17.55,35.1,6.95,8.09
2019-11-30,17.6,35.2,6.9,8.08
2019-12-31,17.65,35.3,6.85,8.07
2020-01-31,17.7,35.4,6.8,8.1
2020-02-29,17.75,35.0,6.75,8.09
2020-03-31,17.8,35.1,6.7,8.08
2020-04-30,17.85,35.2,6.65,8.07
2020-05-31,17.9,35.3,6.6,8.1
2020-06-30,17.95,35.4,6.55,8.09
2020-07-31,18.0,35.0,7.0,8.08
2020-08-31,18.05,35.1,6.95,8.07
2020-09-30,18.1,35.2,6.9,8.1
2020-10-31,18.15,35.3,6.85,8.09
2020-11-30,18.2,35.4,6.8,8.08
2020-12-31,18.25,35.0,6.75,8.07
2021-01-31,18.3,35.1,6.7,8.1
2021-02-28,18.35,35.2,6.65,8.09
2021-03-31,18.4,35.3,6.6,8.08
2021-04-30,18.45,35.4,6.55,8.07
2021-05-31,18.5,35.0,7.0,8.1
2021-06-30,18.55,35.1,6.95,8.09
2021-07-31,18.6,35.2,6.9,8.08
2021-08-31,18.65,35.3,6.85,8.07
2021-09-30,18.7,35.4,6.8,8.1
2021-10-31,18.75,35.0,6.75,8.09
2021-11-30,18.8,35.1,6.7,8.08
2021-12-31,18.85,35.2,6.65,8.07
2022-01-31,18.9,35.3,6.6,8.1
2022-02-28,18.95,35.4,6.55,8.09
2022-03-31,19.0,35.0,7.0,8.08
2022-04-30,19.05,35.1,6.95,8.07
2022-05-31,19.1,35.2,6.9,8.1
2022-06-30,19.15,35.3,6.85,8.09
2022-07-31,19.2,35.4,6.8,8.08
2022-08-31,19.25,35.0,6.75,8.07
2022-09-30,19.3,35.1,6.7,8.1
2022-10-31,19.35,35.2,6.65,8.09
2022-11-30,19.4,35.3,6.6,8.08
2022-12-31,19.45,35.4,6.55,8.07
2023-01-31,19.5,35.0,7.0,8.1
2023-02-28,19.55,35.1,6.95,8.09
2023-03-31,19.6,35.2,6.9,8.08
2023-04-30,19.65,35.3,6.85,8.07
2023-05-31,19.7,35.4,6.8,8.1
2023-06-30,19.75,35.0,6.75,8.09
2023-07-31,19.8,35.1,6.7,8.08
2023-08-31,19.85,35.2,6.65,8.07
2023-09-30,19.9,35.3,6.6,8.1
2023-10-31,19.95,35.4,6.55,8.09
2023-11-30,20.0,35.0,7.0,8.08
2023-12-31,20.05,35.1,6.95,8.07
2024-01-31,20.1,35.2,6.9,8.1
2024-02-29,20.15,35.3,6.85,8.09
2024-03-31,20.2,35.4,6.8,8.08
2024-04-30,20.25,35.0,6.75,8.07
2024-05-31,20.3,35.1,6.7,8.1
2024-06-30,20.35,35.2,6.65,8.09
2024-07-31,20.4,35.3,6.6,8.08
2024-08-31,20.45,35.4,6.55,8.07
2024-09-30,20.5,35.0,7.0,8.1
2024-10-31,20.55,35.1,6.95,8.09
2024-11-30,20.6,35.2,6.9,8.08
2024-12-31,20.65,35.3,6.85,8.07
2025-01-31,20.7,35.4,6.8,8.1
2025-02-28,20.75,35.0,6.75,8.09
2025-03-31,20.8,35.1,6.7,8.08
2025-04-30,20.85,35.2,6.65,8.07
2025-05-31,20.9,35.3,6.6,8.1
2025-06-30,20.95,35.4,6.55,8.09
2025-07-31,21.0,35.0,7.0,8.08
2025-08-31,21.05,35.1,6.95,8.07
2025-09-30,21.1,35.2,6.9,8.1
2025-10-31,21.15,35.3,6.85,8.09
2025-11-30,21.2,35.4,6.8,8.08
2025-12-31,21.25,35.0,6.75,8.07
2026-01-31,21.3,35.1,6.7,8.1
2026-02-28,21.35,35.2,6.65,8.09
2026-03-31,21.4,35.3,6.6,8.08
2026-04-30,21.45,35.4,6.55,8.07
